event_id,customer_id,appearance_second,demand_kg,x,y,ready_second,due_second,service_second,city
ADD_005_C036,C036,23783.52010927737,139.0,106.54544891111112,29.563224766666664,46047.9495,47974.12248,360.0,
ADD_002_C020,C020,28678.396944605418,278.0,104.0492541,30.6626411,54139.97472,56619.562860000005,720.0,
ADD_007_C040,C040,29125.81269461022,417.0,106.530209,29.578998,48510.79518,50460.74148,1080.0,
ADD_009_C046,C046,30597.679607008,139.0,106.529857,29.5808103,47914.45764,51407.382000000005,360.0,
ADD_010_C049,C049,33765.46695652492,139.0,106.4616259,29.5200912,44904.26208,47211.737100000006,360.0,
ADD_008_C044,C044,36678.52901560709,208.0,106.5346697,29.5687154,46040.03412,49480.39638,540.0,
ADD_003_C023,C023,40844.98766128972,347.0,106.5435721,29.5613144,44757.24366,47567.886,900.0,
ADD_006_C037,C037,42205.21249666429,417.0,106.5685319,29.5523257,56139.3351,58722.773460000004,1080.0,
ADD_001_C016,C016,43331.52142724589,208.0,104.0060804,30.6502526,47302.949519999995,49743.64458,540.0,
ADD_004_C029,C029,49091.96927437755,139.0,106.46091648333334,29.538448766666665,53459.80578,56064.0015,360.0,
