instance,class,customers,max_vehicles,capacity,reference_value,optimal_flag,standardized_time_limit_s,zip_member,instance_sha256,official_byte_equal,node_structure_ok,distance_matrix_sha256,distance_rule,search_evaluations
C101,C1,100,25,200,827.3,1,1800,In/c101.txt,a6da75152d182d60ecd2c6f854296f5be452f92282d096adebcf5d99a7f16516,1,1,2b37c4f999a6bedbb4096ed633a17cafb4970a28adcfb06a5b15ffff139c53d8,floor(10*euclidean)/10,0
C102,C1,100,25,200,827.3,1,1800,In/c102.txt,f89a0e2a760cc7448a4ca72b88e5b29b94d64b5548f3320f42a6230025ead653,1,1,2b37c4f999a6bedbb4096ed633a17cafb4970a28adcfb06a5b15ffff139c53d8,floor(10*euclidean)/10,0
C103,C1,100,25,200,826.3,1,1800,In/c103.txt,a55cabf15e0da9d65696a5fb45c9852889479893f76f772a428ca15d1b415a51,1,1,2b37c4f999a6bedbb4096ed633a17cafb4970a28adcfb06a5b15ffff139c53d8,floor(10*euclidean)/10,0
C104,C1,100,25,200,822.9,1,1800,In/c104.txt,fe333e81625ee5a75bb2ce98c2c9f356d07289237865b62a23ba2f32f0de5ee2,1,1,2b37c4f999a6bedbb4096ed633a17cafb4970a28adcfb06a5b15ffff139c53d8,floor(10*euclidean)/10,0
C105,C1,100,25,200,827.3,1,1800,In/c105.txt,9a877a3a6fb922e7ad9297cc0308bc8a5652cb1495a0228ee6b81b2d938aa29f,1,1,2b37c4f999a6bedbb4096ed633a17cafb4970a28adcfb06a5b15ffff139c53d8,floor(10*euclidean)/10,0
C106,C1,100,25,200,827.3,1,1800,In/c106.txt,ec9b419bed53e9c607cce76e8c6bc59feb6e4d17646905601f008a4141ec7b40,1,1,2b37c4f999a6bedbb4096ed633a17cafb4970a28adcfb06a5b15ffff139c53d8,floor(10*euclidean)/10,0
C107,C1,100,25,200,827.3,1,1800,In/c107.txt,cb3cdc10d812fa17370eb52cb753b6b0574426dc6fabeb8b9076ed750ddf05ca,1,1,2b37c4f999a6bedbb4096ed633a17cafb4970a28adcfb06a5b15ffff139c53d8,floor(10*euclidean)/10,0
C108,C1,100,25,200,827.3,1,1800,In/c108.txt,b8c7e48f292b66b283d8e71511e3a4eccaa4c4bc66b9313c399e73b0226f5953,1,1,2b37c4f999a6bedbb4096ed633a17cafb4970a28adcfb06a5b15ffff139c53d8,floor(10*euclidean)/10,0
C109,C1,100,25,200,827.3,1,1800,In/c109.txt,72d8489e14bf1bb18456f0b21b01110506cbcc2354719dae8481b480150f142a,1,1,2b37c4f999a6bedbb4096ed633a17cafb4970a28adcfb06a5b15ffff139c53d8,floor(10*euclidean)/10,0
C201,C2,100,25,700,589.1,1,1800,In/c201.txt,d8d9834087ae2326fa23a8510533060233dc9fb481873be60956eb26a880ad63,1,1,f949ade3b35537664d0cc6ec06936057a7762ea5e7d8d4efb9c61752dbeb2195,floor(10*euclidean)/10,0
