instance_id,sample_role,arm,customer_id,administrative_registered_depot,nearest_depot,assigned_reference_depot,hard_home_depot_lock,registered_differs_from_nearest,registered_distance_m,nearest_distance_m
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C001,D_guangzhou,D_guangzhou,D_guangzhou,True,False,29014.166904147,29014.166904147
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C002,D_guangzhou,D_guangzhou,D_guangzhou,True,False,28581.02148351,28581.02148351
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C003,D_guangzhou,D_guangzhou,D_guangzhou,True,False,31853.381097446,31853.381097446
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C004,D_guangzhou,D_guangzhou,D_guangzhou,True,False,37689.075819216,37689.075819216
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C005,D_guangzhou,D_guangzhou,D_guangzhou,True,False,43044.173541326,43044.173541326
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C006,D_guangzhou,D_guangzhou,D_guangzhou,True,False,32618.326909313,32618.326909313
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C007,D_guangzhou,D_guangzhou,D_guangzhou,True,False,29747.277093608,29747.277093608
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C008,D_guangzhou,D_guangzhou,D_guangzhou,True,False,28871.31005871,28871.31005871
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C009,D_guangzhou,D_guangzhou,D_guangzhou,True,False,28089.701723569,28089.701723569
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C010,D_guangzhou,D_guangzhou,D_guangzhou,True,False,28328.346876156,28328.346876156
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C011,D_guangzhou,D_guangzhou,D_guangzhou,True,False,31419.701104718,31419.701104718
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C012,D_guangzhou,D_guangzhou,D_guangzhou,True,False,31865.909717678,31865.909717678
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C013,D_guangzhou,D_guangzhou,D_guangzhou,True,False,31747.849722456,31747.849722456
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C014,D_guangzhou,D_guangzhou,D_guangzhou,True,False,32971.994320189,32971.994320189
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C015,D_guangzhou,D_guangzhou,D_guangzhou,True,False,32836.490137573,32836.490137573
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C016,D_guangzhou,D_guangzhou,D_guangzhou,True,False,28448.091651555,28448.091651555
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C017,D_guangzhou,D_guangzhou,D_guangzhou,True,False,33321.641232915,33321.641232915
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C018,D_guangzhou,D_guangzhou,D_guangzhou,True,False,34811.19221517,34811.19221517
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C019,D_guangzhou,D_guangzhou,D_guangzhou,True,False,29413.831925097,29413.831925097
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C020,D_guangzhou,D_guangzhou,D_guangzhou,True,False,30652.707007129,30652.707007129
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C021,D_guangzhou,D_guangzhou,D_guangzhou,True,False,29409.191656092,29409.191656092
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C022,D_guangzhou,D_guangzhou,D_guangzhou,True,False,30892.940597429,30892.940597429
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C023,D_guangzhou,D_guangzhou,D_guangzhou,True,False,37187.158896299,37187.158896299
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C024,D_shenzhen,D_shenzhen,D_shenzhen,True,False,22452.586996032,22452.586996032
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C025,D_shenzhen,D_shenzhen,D_shenzhen,True,False,23340.574436821,23340.574436821
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C026,D_shenzhen,D_shenzhen,D_shenzhen,True,False,25206.046477689,25206.046477689
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C027,D_shenzhen,D_shenzhen,D_shenzhen,True,False,27584.902920771,27584.902920771
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C028,D_shenzhen,D_shenzhen,D_shenzhen,True,False,25848.09509674,25848.09509674
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C029,D_shenzhen,D_shenzhen,D_shenzhen,True,False,29107.621641619,29107.621641619
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C030,D_shenzhen,D_shenzhen,D_shenzhen,True,False,27933.924243181,27933.924243181
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,IND,C031,D_shenzhen,D_shenzhen,D_shenzhen,True,False,23837.957578192,23837.957578192
