unit,prior_queue_state,status,reason,not_infeasible,not_technical_failure,old_real_files_deleted_or_overwritten
cn-jjj-150c-01-V2-LOCATIONS__mismatch50,ACTIVE_EXACT_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-jjj-150c-02-V2-LOCATIONS__mismatch50,ACTIVE_EXACT_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-jjj-150c-03-V2-LOCATIONS__mismatch50,ACTIVE_EXACT_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-jjj-200c-01-V2-LOCATIONS__mismatch50,ACTIVE_EXACT_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-jjj-200c-02-V2-LOCATIONS__mismatch50,ACTIVE_EXACT_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-150c-02-V2-LOCATIONS__mismatch50,ACTIVE_EXACT_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-200c-01-V2-LOCATIONS__mismatch50,ACTIVE_EXACT_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-200c-02-V2-LOCATIONS__mismatch50,ACTIVE_EXACT_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-200c-03-V2-LOCATIONS__mismatch00,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-200c-03-V2-LOCATIONS__mismatch25,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-200c-03-V2-LOCATIONS__mismatch50,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-50c-01-V2-LOCATIONS__mismatch00,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-50c-01-V2-LOCATIONS__mismatch25,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-50c-01-V2-LOCATIONS__mismatch50,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-50c-02-V2-LOCATIONS__mismatch00,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-50c-02-V2-LOCATIONS__mismatch25,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-50c-02-V2-LOCATIONS__mismatch50,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-50c-03-V2-LOCATIONS__mismatch00,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-50c-03-V2-LOCATIONS__mismatch25,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-50c-03-V2-LOCATIONS__mismatch50,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-75c-01-V2-LOCATIONS__mismatch00,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-75c-01-V2-LOCATIONS__mismatch25,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-75c-01-V2-LOCATIONS__mismatch50,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-75c-02-V2-LOCATIONS__mismatch00,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-75c-02-V2-LOCATIONS__mismatch25,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-75c-02-V2-LOCATIONS__mismatch50,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-75c-03-V2-LOCATIONS__mismatch00,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-75c-03-V2-LOCATIONS__mismatch25,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
cn-prd-75c-03-V2-LOCATIONS__mismatch50,QUEUED_AT_SNAPSHOT,NOT_BUILT_SUPERSEDED_DESIGN,CONTRACT_JOURNAL_ALIGNED_V2_REPLACED_OLD_0_25_50_SCAN,True,True,False
