tier_scope,replicate,category,instance,size,bundle_dir
Tier1,01,multidepot,e2-multidepot-100c-01,100,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-100c-01
Tier1,01,multidepot,e2-multidepot-10c-01,10,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-10c-01
Tier1,01,multidepot,e2-multidepot-150c-01,150,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-150c-01
Tier1,01,multidepot,e2-multidepot-15c-01,15,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-15c-01
Tier1,01,multidepot,e2-multidepot-200c-01,200,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-200c-01
Tier1,01,multidepot,e2-multidepot-20c-01,20,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-20c-01
Tier1,01,multidepot,e2-multidepot-25c-01,25,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-25c-01
Tier1,01,multidepot,e2-multidepot-50c-01,50,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-50c-01
Tier1,01,multidepot,e2-multidepot-75c-01,75,models/data_bundle/generated_instances/e2_benchmark/multidepot/e2-multidepot-75c-01
Tier1,01,threeshift,e2-threeshift-100c-01,100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-01
Tier1,01,threeshift,e2-threeshift-150c-01,150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-01
Tier1,01,threeshift,e2-threeshift-200c-01,200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-01
Tier1,01,threeshift,e2-threeshift-50c-01,50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-01
Tier1,01,threeshift,e2-threeshift-75c-01,75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-01
Tier1,01,vanilla,e2-vanilla-100c-01,100,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-100c-01
Tier1,01,vanilla,e2-vanilla-10c-01,10,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-10c-01
Tier1,01,vanilla,e2-vanilla-150c-01,150,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-150c-01
Tier1,01,vanilla,e2-vanilla-15c-01,15,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-15c-01
Tier1,01,vanilla,e2-vanilla-200c-01,200,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-200c-01
Tier1,01,vanilla,e2-vanilla-20c-01,20,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-20c-01
Tier1,01,vanilla,e2-vanilla-25c-01,25,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-25c-01
Tier1,01,vanilla,e2-vanilla-50c-01,50,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-50c-01
Tier1,01,vanilla,e2-vanilla-75c-01,75,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-75c-01
